neighborhood,month,theft_count,lon,lat,time_index,month_of_year,year
Yorkdale-Glen Park (31),2015-01-01,0,-79.45710807275005,43.71467151108852,13,1,2015
Agincourt North (129),2015-02-01,0,-79.26671216328295,43.805440562864696,14,2,2015
Agincourt South-Malvern West (128),2015-02-01,0,-79.2656118002269,43.788657536163946,14,2,2015
Alderwood (20),2015-02-01,0,-79.54161093042093,43.60493688403101,14,2,2015
Annex (95),2015-02-01,2,-79.40400062928025,43.67158543003155,14,2,2015
Banbury-Don Mills (42),2015-02-01,0,-79.34971796126571,43.73765697400432,14,2,2015
Bathurst Manor (34),2015-02-01,0,-79.45605514611319,43.76481328101867,14,2,2015
Bay Street Corridor (76),2015-02-01,2,-79.38572124534863,43.657511330997565,14,2,2015
Bayview Village (52),2015-02-01,0,-79.37711685879394,43.776360508669505,14,2,2015
Bayview Woods-Steeles (49),2015-02-01,0,-79.3821179554524,43.796801856085374,14,2,2015
Bedford Park-Nortown (39),2015-02-01,0,-79.42022735886505,43.73148619626069,14,2,2015
Beechborough-Greenbrook (112),2015-02-01,0,-79.47947250865478,43.69321648359968,14,2,2015
Bendale (127),2015-02-01,0,-79.25740036192514,43.760366271465735,14,2,2015
Birchcliffe-Cliffside (122),2015-02-01,3,-79.26509262187423,43.69468193885,14,2,2015
Black Creek (24),2015-02-01,0,-79.52197931718258,43.76489023887292,14,2,2015
Blake-Jones (69),2015-02-01,0,-79.3373941737337,43.676172877463664,14,2,2015
Briar Hill-Belgravia (108),2015-02-01,0,-79.45285129984684,43.69902437760449,14,2,2015
Bridle Path-Sunnybrook-York Mills (41),2015-02-01,0,-79.37890416227515,43.73101311194996,14,2,2015
Broadview North (57),2015-02-01,0,-79.35562951364216,43.68882511190598,14,2,2015
Brookhaven-Amesbury (30),2015-02-01,0,-79.48558926457817,43.70132629947939,14,2,2015
Cabbagetown-South St.James Town (71),2015-02-01,0,-79.36610665903528,43.66764772385686,14,2,2015
Caledonia-Fairbank (109),2015-02-01,0,-79.4552120795635,43.688568647155336,14,2,2015
Casa Loma (96),2015-02-01,0,-79.40800664807479,43.68185209508544,14,2,2015
Centennial Scarborough (133),2015-02-01,0,-79.15084326996072,43.78237648034414,14,2,2015
Church-Yonge Corridor (75),2015-02-01,3,-79.37901716162628,43.65964884944928,14,2,2015
Clairlea-Birchmount (120),2015-02-01,0,-79.28138177798613,43.71359235501493,14,2,2015
Clanton Park (33),2015-02-01,0,-79.44630257728986,43.741978417593174,14,2,2015
Cliffcrest (123),2015-02-01,0,-79.23552957479994,43.721121141067144,14,2,2015
Corso Italia-Davenport (92),2015-02-01,0,-79.44746932943953,43.67766090308253,14,2,2015
Danforth (66),2015-02-01,0,-79.32981941388597,43.68402547142561,14,2,2015
Danforth East York (59),2015-02-01,0,-79.33140338933542,43.68946809019784,14,2,2015
Don Valley Village (47),2015-02-01,0,-79.35364413195393,43.783293676309825,14,2,2015
Dorset Park (126),2015-02-01,0,-79.2789079328611,43.75927434447322,14,2,2015
Dovercourt-Wallace Emerson-Junction (93),2015-02-01,0,-79.43854070116043,43.6656769257464,14,2,2015
Downsview-Roding-CFB (26),2015-02-01,0,-79.49049738436791,43.733292312253184,14,2,2015
Dufferin Grove (83),2015-02-01,0,-79.43734103751373,43.655428330164874,14,2,2015
East End-Danforth (62),2015-02-01,0,-79.29935867382727,43.68417387262764,14,2,2015
Edenbridge-Humber Valley (9),2015-02-01,0,-79.52245776503415,43.67088588914698,14,2,2015
Eglinton East (138),2015-02-01,0,-79.24559804211357,43.74092229023796,14,2,2015
Elms-Old Rexdale (5),2015-02-01,0,-79.54898271587403,43.72151885714892,14,2,2015
Englemount-Lawrence (32),2015-02-01,0,-79.43740854668668,43.720344647265435,14,2,2015
Eringate-Centennial-West Deane (11),2015-02-01,0,-79.58044525351775,43.65801672874765,14,2,2015
Etobicoke West Mall (13),2015-02-01,0,-79.56893876872303,43.64506261667645,14,2,2015
Flemingdon Park (44),2015-02-01,0,-79.33264596751758,43.71592974897502,14,2,2015
Forest Hill North (102),2015-02-01,0,-79.42814316750712,43.704217556724494,14,2,2015
Forest Hill South (101),2015-02-01,0,-79.41431786345333,43.69452574891732,14,2,2015
Glenfield-Jane Heights (25),2015-02-01,0,-79.51346530987723,43.74563573564186,14,2,2015
Greenwood-Coxwell (65),2015-02-01,4,-79.32431802090154,43.67261230021652,14,2,2015
Guildwood (140),2015-02-01,0,-79.19505535944825,43.74882932678334,14,2,2015
Henry Farm (53),2015-02-01,0,-79.34124066861594,43.771144139011675,14,2,2015
High Park North (88),2015-02-01,1,-79.46630216770625,43.65756491093699,14,2,2015
High Park-Swansea (87),2015-02-01,0,-79.46787222692247,43.64506457452669,14,2,2015
Highland Creek (134),2015-02-01,0,-79.1774724769542,43.79077475905604,14,2,2015
Hillcrest Village (48),2015-02-01,0,-79.35480400470398,43.80298781590062,14,2,2015
Humber Heights-Westmount (8),2015-02-01,0,-79.52241619766016,43.69223279051614,14,2,2015
Humber Summit (21),2015-02-01,0,-79.55617474460846,43.75891973308504,14,2,2015
Humbermede (22),2015-02-01,0,-79.54236711801718,43.7434295073787,14,2,2015
Humewood-Cedarvale (106),2015-02-01,0,-79.42768334947216,43.69136980411722,14,2,2015
Ionview (125),2015-02-01,0,-79.27247049505847,43.7353644000892,14,2,2015
Islington-City Centre West (14),2015-02-01,0,-79.54331653804603,43.633463294702935,14,2,2015
Junction Area (90),2015-02-01,1,-79.47143987276426,43.667889760215104,14,2,2015
Keelesdale-Eglinton West (110),2015-02-01,0,-79.4714371056747,43.68572746919965,14,2,2015
Kennedy Park (124),2015-02-01,0,-79.2603822126536,43.72555571340649,14,2,2015
Kensington-Chinatown (78),2015-02-01,0,-79.39723987739471,43.6535541286232,14,2,2015
Kingsview Village-The Westway (6),2015-02-01,0,-79.54786330865342,43.69899255941022,14,2,2015
Kingsway South (15),2015-02-01,0,-79.51057680194461,43.65352042227594,14,2,2015
L'Amoreaux (117),2015-02-01,0,-79.31408424727546,43.795716009853194,14,2,2015
Lambton Baby Point (114),2015-02-01,0,-79.49604524953277,43.65742012275136,14,2,2015
Lansing-Westgate (38),2015-02-01,0,-79.42474772579611,43.754271137278266,14,2,2015
Lawrence Park North (105),2015-02-01,0,-79.40397836524139,43.73006016831148,14,2,2015
Lawrence Park South (103),2015-02-01,0,-79.40603941914907,43.717211693960785,14,2,2015
Leaside-Bennington (56),2015-02-01,0,-79.36607234417629,43.703796594874674,14,2,2015
Little Portugal (84),2015-02-01,0,-79.43032271138112,43.64753592717682,14,2,2015
Long Branch (19),2015-02-01,0,-79.53334545408563,43.592361683027136,14,2,2015
Malvern (132),2015-02-01,0,-79.2225166213798,43.80365817700939,14,2,2015
Maple Leaf (29),2015-02-01,0,-79.48075801837139,43.715573934512385,14,2,2015
Markland Wood (12),2015-02-01,0,-79.57343154487708,43.63354173983873,14,2,2015
Milliken (130),2015-02-01,0,-79.27500893756222,43.82069077354423,14,2,2015
Mimico (includes Humber Bay Shores) (17),2015-02-01,0,-79.50013665098422,43.61592384473713,14,2,2015
Morningside (135),2015-02-01,0,-79.20704118793313,43.78239859566863,14,2,2015
Moss Park (73),2015-02-01,1,-79.36729702995146,43.656517618834606,14,2,2015
Mount Dennis (115),2015-02-01,0,-79.49998905493412,43.68814408279304,14,2,2015
Mount Olive-Silverstone-Jamestown (2),2015-02-01,0,-79.58725925980302,43.74686777792156,14,2,2015
Mount Pleasant East (99),2015-02-01,0,-79.38492394099212,43.70485215179517,14,2,2015
Mount Pleasant West (104),2015-02-01,0,-79.3933595525685,43.70443516328523,14,2,2015
New Toronto (18),2015-02-01,0,-79.51035809204086,43.60058858826094,14,2,2015
Newtonbrook East (50),2015-02-01,0,-79.40593744835854,43.79153578050072,14,2,2015
Newtonbrook West (36),2015-02-01,0,-79.4314215134344,43.785829927437725,14,2,2015
Niagara (82),2015-02-01,3,-79.41242040394009,43.63668087060661,14,2,2015
North Riverdale (68),2015-02-01,1,-79.35126041348335,43.67199514515696,14,2,2015
North St.James Town (74),2015-02-01,1,-79.37524657752182,43.669623407232905,14,2,2015
O'Connor-Parkview (54),2015-02-01,0,-79.31222776491182,43.70680048177226,14,2,2015
Oakridge (121),2015-02-01,0,-79.2797083448345,43.697408127371254,14,2,2015
Oakwood Village (107),2015-02-01,0,-79.43978547678283,43.68856555117282,14,2,2015
Old East York (58),2015-02-01,0,-79.33548836287208,43.69678126729079,14,2,2015
Palmerston-Little Italy (80),2015-02-01,0,-79.4184087281674,43.65915710120554,14,2,2015
Parkwoods-Donalda (45),2015-02-01,0,-79.33017950831689,43.755033453591466,14,2,2015
Pelmo Park-Humberlea (23),2015-02-01,0,-79.528282190996,43.7175145822485,14,2,2015
Playter Estates-Danforth (67),2015-02-01,0,-79.35488728710035,43.67970046819963,14,2,2015
Pleasant View (46),2015-02-01,0,-79.3349484197622,43.78698174107935,14,2,2015
Princess-Rosethorn (10),2015-02-01,0,-79.54455928434245,43.66605058821453,14,2,2015
Regent Park (72),2015-02-01,0,-79.3605088053568,43.659992140783885,14,2,2015
Rexdale-Kipling (4),2015-02-01,0,-79.56622840704554,43.723725464196825,14,2,2015
Rockcliffe-Smythe (111),2015-02-01,0,-79.49442045588019,43.67479044210717,14,2,2015
Roncesvalles (86),2015-02-01,0,-79.44299244306902,43.64612298805443,14,2,2015
Rosedale-Moore Park (98),2015-02-01,0,-79.37966939989423,43.6828204124932,14,2,2015
Rouge (131),2015-02-01,0,-79.18634336248219,43.82120115363213,14,2,2015
Runnymede-Bloor West Village (89),2015-02-01,0,-79.48570817771532,43.65926881162892,14,2,2015
Rustic (28),2015-02-01,0,-79.49809146920876,43.71160911048926,14,2,2015
Scarborough Village (139),2015-02-01,0,-79.2168126191311,43.73865184898304,14,2,2015
South Parkdale (85),2015-02-01,0,-79.4393378322998,43.636699519318434,14,2,2015
South Riverdale (70),2015-02-01,3,-79.33565132290826,43.6492919996662,14,2,2015
St.Andrew-Windfields (40),2015-02-01,0,-79.37903710013872,43.75624582245125,14,2,2015
Steeles (116),2015-02-01,0,-79.32120701072853,43.81295881783217,14,2,2015
Stonegate-Queensway (16),2015-02-01,0,-79.50112821107008,43.63551811593917,14,2,2015
Tam O'Shanter-Sullivan (118),2015-02-01,0,-79.30291871972979,43.78012984045799,14,2,2015
Taylor-Massey (61),2015-02-01,0,-79.2959011185942,43.69499818569401,14,2,2015
The Beaches (63),2015-02-01,0,-79.29960131609589,43.67104998326742,14,2,2015
Thistletown-Beaumond Heights (3),2015-02-01,0,-79.56349101320373,43.737987910453754,14,2,2015
Thorncliffe Park (55),2015-02-01,0,-79.34998360500312,43.70774920521462,14,2,2015
Trinity-Bellwoods (81),2015-02-01,0,-79.4153421638998,43.65017629672643,14,2,2015
University (79),2015-02-01,0,-79.40117974868369,43.66250619981047,14,2,2015
Victoria Village (43),2015-02-01,0,-79.31487382056616,43.72848900069367,14,2,2015
Waterfront Communities-The Island (77),2015-02-01,2,-79.3772023229936,43.63388032715952,14,2,2015
West Hill (136),2015-02-01,0,-79.17667602852293,43.767490240825325,14,2,2015
West Humber-Clairville (1),2015-02-01,0,-79.59635638981665,43.71618025578886,14,2,2015
Westminster-Branson (35),2015-02-01,0,-79.45241822037676,43.77881319903913,14,2,2015
Weston (113),2015-02-01,0,-79.51572254704779,43.70271604054647,14,2,2015
Weston-Pellam Park (91),2015-02-01,0,-79.46024390773562,43.673962032485946,14,2,2015
Wexford/Maryvale (119),2015-02-01,0,-79.29863655575355,43.7485720898956,14,2,2015
Willowdale East (51),2015-02-01,0,-79.40148379055928,43.770602244553096,14,2,2015
Willowdale West (37),2015-02-01,0,-79.42755780279825,43.77121048659164,14,2,2015
Willowridge-Martingrove-Richview (7),2015-02-01,2,-79.55422105562268,43.68364495301322,14,2,2015
Woburn (137),2015-02-01,0,-79.22858575507915,43.76674020159054,14,2,2015
Woodbine Corridor (64),2015-02-01,0,-79.31540737735443,43.67677291736932,14,2,2015
Woodbine-Lumsden (60),2015-02-01,0,-79.31116352540957,43.69410673833721,14,2,2015
Wychwood (94),2015-02-01,0,-79.42551494769461,43.67691926447834,14,2,2015
Yonge-Eglinton (100),2015-02-01,0,-79.40359016622641,43.70468936092784,14,2,2015
Yonge-St.Clair (97),2015-02-01,0,-79.39787076624125,43.68785886372433,14,2,2015
York University Heights (27),2015-02-01,0,-79.48888293166782,43.76573645429017,14,2,2015
Yorkdale-Glen Park (31),2015-02-01,0,-79.45710807275005,43.71467151108852,14,2,2015
Agincourt North (129),2015-03-01,1,-79.26671216328295,43.805440562864696,15,3,2015
Agincourt South-Malvern West (128),2015-03-01,0,-79.2656118002269,43.788657536163946,15,3,2015
Alderwood (20),2015-03-01,0,-79.54161093042093,43.60493688403101,15,3,2015
Annex (95),2015-03-01,1,-79.40400062928025,43.67158543003155,15,3,2015
Banbury-Don Mills (42),2015-03-01,1,-79.34971796126571,43.73765697400432,15,3,2015
Bathurst Manor (34),2015-03-01,0,-79.45605514611319,43.76481328101867,15,3,2015
Bay Street Corridor (76),2015-03-01,8,-79.38572124534863,43.657511330997565,15,3,2015
Bayview Village (52),2015-03-01,0,-79.37711685879394,43.776360508669505,15,3,2015
Bayview Woods-Steeles (49),2015-03-01,0,-79.3821179554524,43.796801856085374,15,3,2015
Bedford Park-Nortown (39),2015-03-01,0,-79.42022735886505,43.73148619626069,15,3,2015
Beechborough-Greenbrook (112),2015-03-01,0,-79.47947250865478,43.69321648359968,15,3,2015
Bendale (127),2015-03-01,0,-79.25740036192514,43.760366271465735,15,3,2015
Birchcliffe-Cliffside (122),2015-03-01,0,-79.26509262187423,43.69468193885,15,3,2015
Black Creek (24),2015-03-01,0,-79.52197931718258,43.76489023887292,15,3,2015
Blake-Jones (69),2015-03-01,0,-79.3373941737337,43.676172877463664,15,3,2015
Briar Hill-Belgravia (108),2015-03-01,1,-79.45285129984684,43.69902437760449,15,3,2015
Bridle Path-Sunnybrook-York Mills (41),2015-03-01,0,-79.37890416227515,43.73101311194996,15,3,2015
Broadview North (57),2015-03-01,0,-79.35562951364216,43.68882511190598,15,3,2015
Brookhaven-Amesbury (30),2015-03-01,0,-79.48558926457817,43.70132629947939,15,3,2015
Cabbagetown-South St.James Town (71),2015-03-01,3,-79.36610665903528,43.66764772385686,15,3,2015
Caledonia-Fairbank (109),2015-03-01,0,-79.4552120795635,43.688568647155336,15,3,2015
Casa Loma (96),2015-03-01,1,-79.40800664807479,43.68185209508544,15,3,2015
Centennial Scarborough (133),2015-03-01,0,-79.15084326996072,43.78237648034414,15,3,2015
Church-Yonge Corridor (75),2015-03-01,2,-79.37901716162628,43.65964884944928,15,3,2015
Clairlea-Birchmount (120),2015-03-01,0,-79.28138177798613,43.71359235501493,15,3,2015
Clanton Park (33),2015-03-01,0,-79.44630257728986,43.741978417593174,15,3,2015
Cliffcrest (123),2015-03-01,0,-79.23552957479994,43.721121141067144,15,3,2015
Corso Italia-Davenport (92),2015-03-01,0,-79.44746932943953,43.67766090308253,15,3,2015
Danforth (66),2015-03-01,0,-79.32981941388597,43.68402547142561,15,3,2015
Danforth East York (59),2015-03-01,0,-79.33140338933542,43.68946809019784,15,3,2015
Don Valley Village (47),2015-03-01,0,-79.35364413195393,43.783293676309825,15,3,2015
Dorset Park (126),2015-03-01,0,-79.2789079328611,43.75927434447322,15,3,2015
Dovercourt-Wallace Emerson-Junction (93),2015-03-01,3,-79.43854070116043,43.6656769257464,15,3,2015
Downsview-Roding-CFB (26),2015-03-01,0,-79.49049738436791,43.733292312253184,15,3,2015
Dufferin Grove (83),2015-03-01,2,-79.43734103751373,43.655428330164874,15,3,2015
East End-Danforth (62),2015-03-01,0,-79.29935867382727,43.68417387262764,15,3,2015
Edenbridge-Humber Valley (9),2015-03-01,0,-79.52245776503415,43.67088588914698,15,3,2015
Eglinton East (138),2015-03-01,0,-79.24559804211357,43.74092229023796,15,3,2015
Elms-Old Rexdale (5),2015-03-01,0,-79.54898271587403,43.72151885714892,15,3,2015
Englemount-Lawrence (32),2015-03-01,0,-79.43740854668668,43.720344647265435,15,3,2015
Eringate-Centennial-West Deane (11),2015-03-01,0,-79.58044525351775,43.65801672874765,15,3,2015
Etobicoke West Mall (13),2015-03-01,0,-79.56893876872303,43.64506261667645,15,3,2015
Flemingdon Park (44),2015-03-01,0,-79.33264596751758,43.71592974897502,15,3,2015
Forest Hill North (102),2015-03-01,0,-79.42814316750712,43.704217556724494,15,3,2015
Forest Hill South (101),2015-03-01,0,-79.41431786345333,43.69452574891732,15,3,2015
Glenfield-Jane Heights (25),2015-03-01,1,-79.51346530987723,43.74563573564186,15,3,2015
Greenwood-Coxwell (65),2015-03-01,0,-79.32431802090154,43.67261230021652,15,3,2015
Guildwood (140),2015-03-01,0,-79.19505535944825,43.74882932678334,15,3,2015
Henry Farm (53),2015-03-01,0,-79.34124066861594,43.771144139011675,15,3,2015
High Park North (88),2015-03-01,2,-79.46630216770625,43.65756491093699,15,3,2015
High Park-Swansea (87),2015-03-01,1,-79.46787222692247,43.64506457452669,15,3,2015
Highland Creek (134),2015-03-01,0,-79.1774724769542,43.79077475905604,15,3,2015
Hillcrest Village (48),2015-03-01,0,-79.35480400470398,43.80298781590062,15,3,2015
Humber Heights-Westmount (8),2015-03-01,0,-79.52241619766016,43.69223279051614,15,3,2015
Humber Summit (21),2015-03-01,0,-79.55617474460846,43.75891973308504,15,3,2015
Humbermede (22),2015-03-01,0,-79.54236711801718,43.7434295073787,15,3,2015
Humewood-Cedarvale (106),2015-03-01,7,-79.42768334947216,43.69136980411722,15,3,2015
Ionview (125),2015-03-01,0,-79.27247049505847,43.7353644000892,15,3,2015
Islington-City Centre West (14),2015-03-01,1,-79.54331653804603,43.633463294702935,15,3,2015
Junction Area (90),2015-03-01,1,-79.47143987276426,43.667889760215104,15,3,2015
Keelesdale-Eglinton West (110),2015-03-01,0,-79.4714371056747,43.68572746919965,15,3,2015
Kennedy Park (124),2015-03-01,0,-79.2603822126536,43.72555571340649,15,3,2015
Kensington-Chinatown (78),2015-03-01,2,-79.39723987739471,43.6535541286232,15,3,2015
Kingsview Village-The Westway (6),2015-03-01,0,-79.54786330865342,43.69899255941022,15,3,2015
Kingsway South (15),2015-03-01,3,-79.51057680194461,43.65352042227594,15,3,2015
L'Amoreaux (117),2015-03-01,0,-79.31408424727546,43.795716009853194,15,3,2015
Lambton Baby Point (114),2015-03-01,0,-79.49604524953277,43.65742012275136,15,3,2015
Lansing-Westgate (38),2015-03-01,1,-79.42474772579611,43.754271137278266,15,3,2015
Lawrence Park North (105),2015-03-01,0,-79.40397836524139,43.73006016831148,15,3,2015
Lawrence Park South (103),2015-03-01,0,-79.40603941914907,43.717211693960785,15,3,2015
Leaside-Bennington (56),2015-03-01,1,-79.36607234417629,43.703796594874674,15,3,2015
Little Portugal (84),2015-03-01,2,-79.43032271138112,43.64753592717682,15,3,2015
Long Branch (19),2015-03-01,0,-79.53334545408563,43.592361683027136,15,3,2015
Malvern (132),2015-03-01,0,-79.2225166213798,43.80365817700939,15,3,2015
Maple Leaf (29),2015-03-01,0,-79.48075801837139,43.715573934512385,15,3,2015
Markland Wood (12),2015-03-01,0,-79.57343154487708,43.63354173983873,15,3,2015
Milliken (130),2015-03-01,0,-79.27500893756222,43.82069077354423,15,3,2015
Mimico (includes Humber Bay Shores) (17),2015-03-01,0,-79.50013665098422,43.61592384473713,15,3,2015
Morningside (135),2015-03-01,0,-79.20704118793313,43.78239859566863,15,3,2015
Moss Park (73),2015-03-01,2,-79.36729702995146,43.656517618834606,15,3,2015
Mount Dennis (115),2015-03-01,0,-79.49998905493412,43.68814408279304,15,3,2015
Mount Olive-Silverstone-Jamestown (2),2015-03-01,1,-79.58725925980302,43.74686777792156,15,3,2015
Mount Pleasant East (99),2015-03-01,0,-79.38492394099212,43.70485215179517,15,3,2015
Mount Pleasant West (104),2015-03-01,0,-79.3933595525685,43.70443516328523,15,3,2015
New Toronto (18),2015-03-01,0,-79.51035809204086,43.60058858826094,15,3,2015
Newtonbrook East (50),2015-03-01,0,-79.40593744835854,43.79153578050072,15,3,2015
Newtonbrook West (36),2015-03-01,1,-79.4314215134344,43.785829927437725,15,3,2015
Niagara (82),2015-03-01,2,-79.41242040394009,43.63668087060661,15,3,2015
North Riverdale (68),2015-03-01,0,-79.35126041348335,43.67199514515696,15,3,2015
North St.James Town (74),2015-03-01,3,-79.37524657752182,43.669623407232905,15,3,2015
O'Connor-Parkview (54),2015-03-01,0,-79.31222776491182,43.70680048177226,15,3,2015
Oakridge (121),2015-03-01,0,-79.2797083448345,43.697408127371254,15,3,2015
Oakwood Village (107),2015-03-01,3,-79.43978547678283,43.68856555117282,15,3,2015
Old East York (58),2015-03-01,0,-79.33548836287208,43.69678126729079,15,3,2015
Palmerston-Little Italy (80),2015-03-01,1,-79.4184087281674,43.65915710120554,15,3,2015
Parkwoods-Donalda (45),2015-03-01,0,-79.33017950831689,43.755033453591466,15,3,2015
Pelmo Park-Humberlea (23),2015-03-01,0,-79.528282190996,43.7175145822485,15,3,2015
Playter Estates-Danforth (67),2015-03-01,1,-79.35488728710035,43.67970046819963,15,3,2015
Pleasant View (46),2015-03-01,0,-79.3349484197622,43.78698174107935,15,3,2015
Princess-Rosethorn (10),2015-03-01,1,-79.54455928434245,43.66605058821453,15,3,2015
Regent Park (72),2015-03-01,1,-79.3605088053568,43.659992140783885,15,3,2015
Rexdale-Kipling (4),2015-03-01,0,-79.56622840704554,43.723725464196825,15,3,2015
Rockcliffe-Smythe (111),2015-03-01,0,-79.49442045588019,43.67479044210717,15,3,2015
Roncesvalles (86),2015-03-01,0,-79.44299244306902,43.64612298805443,15,3,2015
Rosedale-Moore Park (98),2015-03-01,1,-79.37966939989423,43.6828204124932,15,3,2015
Rouge (131),2015-03-01,0,-79.18634336248219,43.82120115363213,15,3,2015
Runnymede-Bloor West Village (89),2015-03-01,1,-79.48570817771532,43.65926881162892,15,3,2015
Rustic (28),2015-03-01,0,-79.49809146920876,43.71160911048926,15,3,2015
Scarborough Village (139),2015-03-01,0,-79.2168126191311,43.73865184898304,15,3,2015
South Parkdale (85),2015-03-01,0,-79.4393378322998,43.636699519318434,15,3,2015
South Riverdale (70),2015-03-01,2,-79.33565132290826,43.6492919996662,15,3,2015
St.Andrew-Windfields (40),2015-03-01,0,-79.37903710013872,43.75624582245125,15,3,2015
Steeles (116),2015-03-01,0,-79.32120701072853,43.81295881783217,15,3,2015
Stonegate-Queensway (16),2015-03-01,0,-79.50112821107008,43.63551811593917,15,3,2015
Tam O'Shanter-Sullivan (118),2015-03-01,0,-79.30291871972979,43.78012984045799,15,3,2015
Taylor-Massey (61),2015-03-01,0,-79.2959011185942,43.69499818569401,15,3,2015
The Beaches (63),2015-03-01,0,-79.29960131609589,43.67104998326742,15,3,2015
Thistletown-Beaumond Heights (3),2015-03-01,1,-79.56349101320373,43.737987910453754,15,3,2015
Thorncliffe Park (55),2015-03-01,2,-79.34998360500312,43.70774920521462,15,3,2015
Trinity-Bellwoods (81),2015-03-01,0,-79.4153421638998,43.65017629672643,15,3,2015
University (79),2015-03-01,5,-79.40117974868369,43.66250619981047,15,3,2015
Victoria Village (43),2015-03-01,0,-79.31487382056616,43.72848900069367,15,3,2015
Waterfront Communities-The Island (77),2015-03-01,8,-79.3772023229936,43.63388032715952,15,3,2015
West Hill (136),2015-03-01,0,-79.17667602852293,43.767490240825325,15,3,2015
West Humber-Clairville (1),2015-03-01,1,-79.59635638981665,43.71618025578886,15,3,2015
Westminster-Branson (35),2015-03-01,0,-79.45241822037676,43.77881319903913,15,3,2015
Weston (113),2015-03-01,0,-79.51572254704779,43.70271604054647,15,3,2015
Weston-Pellam Park (91),2015-03-01,1,-79.46024390773562,43.673962032485946,15,3,2015
Wexford/Maryvale (119),2015-03-01,0,-79.29863655575355,43.7485720898956,15,3,2015
Willowdale East (51),2015-03-01,0,-79.40148379055928,43.770602244553096,15,3,2015
Willowdale West (37),2015-03-01,0,-79.42755780279825,43.77121048659164,15,3,2015
Willowridge-Martingrove-Richview (7),2015-03-01,0,-79.55422105562268,43.68364495301322,15,3,2015
Woburn (137),2015-03-01,0,-79.22858575507915,43.76674020159054,15,3,2015
Woodbine Corridor (64),2015-03-01,1,-79.31540737735443,43.67677291736932,15,3,2015
Woodbine-Lumsden (60),2015-03-01,0,-79.31116352540957,43.69410673833721,15,3,2015
Wychwood (94),2015-03-01,1,-79.42551494769461,43.67691926447834,15,3,2015
Yonge-Eglinton (100),2015-03-01,1,-79.40359016622641,43.70468936092784,15,3,2015
Yonge-St.Clair (97),2015-03-01,1,-79.39787076624125,43.68785886372433,15,3,2015
York University Heights (27),2015-03-01,0,-79.48888293166782,43.76573645429017,15,3,2015
Yorkdale-Glen Park (31),2015-03-01,0,-79.45710807275005,43.71467151108852,15,3,2015
Agincourt North (129),2015-04-01,1,-79.26671216328295,43.805440562864696,16,4,2015
Agincourt South-Malvern West (128),2015-04-01,0,-79.2656118002269,43.788657536163946,16,4,2015
Alderwood (20),2015-04-01,0,-79.54161093042093,43.60493688403101,16,4,2015
Annex (95),2015-04-01,9,-79.40400062928025,43.67158543003155,16,4,2015
Banbury-Don Mills (42),2015-04-01,0,-79.34971796126571,43.73765697400432,16,4,2015
Bathurst Manor (34),2015-04-01,0,-79.45605514611319,43.76481328101867,16,4,2015
Bay Street Corridor (76),2015-04-01,22,-79.38572124534863,43.657511330997565,16,4,2015
Bayview Village (52),2015-04-01,0,-79.37711685879394,43.776360508669505,16,4,2015
Bayview Woods-Steeles (49),2015-04-01,1,-79.3821179554524,43.796801856085374,16,4,2015
Bedford Park-Nortown (39),2015-04-01,1,-79.42022735886505,43.73148619626069,16,4,2015
Beechborough-Greenbrook (112),2015-04-01,0,-79.47947250865478,43.69321648359968,16,4,2015
Bendale (127),2015-04-01,1,-79.25740036192514,43.760366271465735,16,4,2015
Birchcliffe-Cliffside (122),2015-04-01,2,-79.26509262187423,43.69468193885,16,4,2015
Black Creek (24),2015-04-01,1,-79.52197931718258,43.76489023887292,16,4,2015
Blake-Jones (69),2015-04-01,3,-79.3373941737337,43.676172877463664,16,4,2015
Briar Hill-Belgravia (108),2015-04-01,0,-79.45285129984684,43.69902437760449,16,4,2015
Bridle Path-Sunnybrook-York Mills (41),2015-04-01,1,-79.37890416227515,43.73101311194996,16,4,2015
Broadview North (57),2015-04-01,0,-79.35562951364216,43.68882511190598,16,4,2015
Brookhaven-Amesbury (30),2015-04-01,1,-79.48558926457817,43.70132629947939,16,4,2015
Cabbagetown-South St.James Town (71),2015-04-01,11,-79.36610665903528,43.66764772385686,16,4,2015
Caledonia-Fairbank (109),2015-04-01,0,-79.4552120795635,43.688568647155336,16,4,2015
Casa Loma (96),2015-04-01,0,-79.40800664807479,43.68185209508544,16,4,2015
Centennial Scarborough (133),2015-04-01,0,-79.15084326996072,43.78237648034414,16,4,2015
Church-Yonge Corridor (75),2015-04-01,19,-79.37901716162628,43.65964884944928,16,4,2015
Clairlea-Birchmount (120),2015-04-01,1,-79.28138177798613,43.71359235501493,16,4,2015
Clanton Park (33),2015-04-01,0,-79.44630257728986,43.741978417593174,16,4,2015
Cliffcrest (123),2015-04-01,0,-79.23552957479994,43.721121141067144,16,4,2015
Corso Italia-Davenport (92),2015-04-01,0,-79.44746932943953,43.67766090308253,16,4,2015
Danforth (66),2015-04-01,1,-79.32981941388597,43.68402547142561,16,4,2015
Danforth East York (59),2015-04-01,0,-79.33140338933542,43.68946809019784,16,4,2015
Don Valley Village (47),2015-04-01,0,-79.35364413195393,43.783293676309825,16,4,2015
Dorset Park (126),2015-04-01,0,-79.2789079328611,43.75927434447322,16,4,2015
Dovercourt-Wallace Emerson-Junction (93),2015-04-01,1,-79.43854070116043,43.6656769257464,16,4,2015
