neighborhood,month,theft_count,lon,lat,time_index,month_of_year,year
Leaside-Bennington (56),2014-01-01,1,-79.36607234417629,43.703796594874674,1,1,2014
Little Portugal (84),2014-01-01,3,-79.43032271138112,43.64753592717682,1,1,2014
Long Branch (19),2014-01-01,0,-79.53334545408563,43.592361683027136,1,1,2014
Malvern (132),2014-01-01,0,-79.2225166213798,43.80365817700939,1,1,2014
Maple Leaf (29),2014-01-01,0,-79.48075801837139,43.715573934512385,1,1,2014
Markland Wood (12),2014-01-01,0,-79.57343154487708,43.63354173983873,1,1,2014
Milliken (130),2014-01-01,0,-79.27500893756222,43.82069077354423,1,1,2014
Mimico (includes Humber Bay Shores) (17),2014-01-01,0,-79.50013665098422,43.61592384473713,1,1,2014
Morningside (135),2014-01-01,0,-79.20704118793313,43.78239859566863,1,1,2014
Moss Park (73),2014-01-01,2,-79.36729702995146,43.656517618834606,1,1,2014
Mount Dennis (115),2014-01-01,0,-79.49998905493412,43.68814408279304,1,1,2014
Mount Olive-Silverstone-Jamestown (2),2014-01-01,0,-79.58725925980302,43.74686777792156,1,1,2014
Mount Pleasant East (99),2014-01-01,0,-79.38492394099212,43.70485215179517,1,1,2014
Mount Pleasant West (104),2014-01-01,1,-79.3933595525685,43.70443516328523,1,1,2014
New Toronto (18),2014-01-01,1,-79.51035809204086,43.60058858826094,1,1,2014
Newtonbrook East (50),2014-01-01,0,-79.40593744835854,43.79153578050072,1,1,2014
Newtonbrook West (36),2014-01-01,0,-79.4314215134344,43.785829927437725,1,1,2014
Niagara (82),2014-01-01,0,-79.41242040394009,43.63668087060661,1,1,2014
North Riverdale (68),2014-01-01,0,-79.35126041348335,43.67199514515696,1,1,2014
North St.James Town (74),2014-01-01,0,-79.37524657752182,43.669623407232905,1,1,2014
O'Connor-Parkview (54),2014-01-01,0,-79.31222776491182,43.70680048177226,1,1,2014
Oakridge (121),2014-01-01,0,-79.2797083448345,43.697408127371254,1,1,2014
Oakwood Village (107),2014-01-01,0,-79.43978547678283,43.68856555117282,1,1,2014
Old East York (58),2014-01-01,0,-79.33548836287208,43.69678126729079,1,1,2014
Palmerston-Little Italy (80),2014-01-01,0,-79.4184087281674,43.65915710120554,1,1,2014
Parkwoods-Donalda (45),2014-01-01,0,-79.33017950831689,43.755033453591466,1,1,2014
Pelmo Park-Humberlea (23),2014-01-01,0,-79.528282190996,43.7175145822485,1,1,2014
Playter Estates-Danforth (67),2014-01-01,0,-79.35488728710035,43.67970046819963,1,1,2014
Pleasant View (46),2014-01-01,0,-79.3349484197622,43.78698174107935,1,1,2014
Princess-Rosethorn (10),2014-01-01,0,-79.54455928434245,43.66605058821453,1,1,2014
Regent Park (72),2014-01-01,0,-79.3605088053568,43.659992140783885,1,1,2014
Rexdale-Kipling (4),2014-01-01,0,-79.56622840704554,43.723725464196825,1,1,2014
Rockcliffe-Smythe (111),2014-01-01,1,-79.49442045588019,43.67479044210717,1,1,2014
