model,role,selected_by_cv,selected_lambda,mean_cv_rmse,sd_cv_rmse,test_mae,test_rmse,test_r2,test_total_bias
Global mean,baseline,FALSE,NA,NA,NA,2.1696766345427085,4.164150103491835,-0.005586815698698677,0.19213133546224487
Neighborhood mean,baseline,FALSE,NA,NA,NA,1.3909722222222223,2.6993170591343807,0.577453394244432,0.19213133546221553
Basis OLS,benchmark,FALSE,NA,NA,NA,1.1201640743788401,1.9655059122570147,0.775965177341303,0.2032517122777533
Additive Ridge,candidate,FALSE,0.013219411484660307,3.209679006334442,0.640043656310891,1.0543065649349066,1.9758256322611263,0.7736064502126186,0.05225843954676634
Season-space Ridge,candidate,TRUE,0.017475284000076856,2.8072689858228475,0.48228687968696454,1.0032863791505897,1.7930626101736713,0.8135520005713347,0.07088505704776282
