model,selected_lambda,mean_cv_rmse,sd_cv_rmse,test_mae,test_rmse,test_r2,selected_by_cv
Additive Ridge,0.013219411484660307,3.209679006334442,0.640043656310891,1.0543065649349066,1.9758256322611263,0.7736064502126186,FALSE
Season-space Ridge,0.017475284000076856,2.8072689858228475,0.48228687968696454,1.0032863791505897,1.7930626101736713,0.8135520005713347,TRUE
