model,split,MAE,RMSE,R2
Global mean,Test 2023,2.1873129251700703,4.166991824047406,-0.006959759373382113
Neighborhood mean,Test 2023,1.4111235119047618,2.725831465820937,0.5691115828860219
Basis OLS,Test 2023,1.0082422319913371,2.0482572032017266,0.756703534130148
Basis Ridge,Test 2023,1.0062960912405723,2.0600231520436045,0.7539003356609256
