month,actual,predicted,rel_bias
2025-01-01,63,151.64543672177098,1.4070704241550949
2025-02-01,35,150.7833100615828,3.3080945731880798
2025-03-01,126,168.15191015580487,0.33453896949051487
2025-04-01,172,204.21864611893548,0.18731770999381095
2025-05-01,221,254.66918842000408,0.1523492688687967
2025-06-01,281,304.71283679905446,0.08438731956958882
2025-07-01,257,332.0142487865627,0.29188423652359025
2025-08-01,320,322.6130411852221,0.008165753703818978
2025-09-01,282,282.7212851345496,0.0025577487040765574
2025-10-01,222,231.18952791048383,0.04139426986704429
2025-11-01,94,184.7031802762501,0.9649274497473415
2025-12-01,52,151.6026341316079,1.9154352717616907
