neighborhood,actual_total,predicted_total,rel_bias
Regent Park (72),20,11.415896559033852,-0.4292051720483074
Rexdale-Kipling (4),0,0.03563834410231997,NA
Rockcliffe-Smythe (111),6,1.43728188733916,-0.7604530187768067
Roncesvalles (86),16,14.360032693362822,-0.10249795666482364
Rosedale-Moore Park (98),30,25.596001312441114,-0.14679995625196288
Rouge (131),2,1.5119495981739361,-0.24402520091303193
Runnymede-Bloor West Village (89),3,2.720127504668606,-0.09329083177713127
Rustic (28),3,0.021750848420562078,-0.992749717193146
Scarborough Village (139),6,0.6059136341525421,-0.8990143943079096
South Parkdale (85),30,16.138805687364854,-0.46203981042117154
South Riverdale (70),29,43.21971899402176,0.4903351377248883
St.Andrew-Windfields (40),2,1.2358670959605702,-0.3820664520197149
Steeles (116),1,0.07699831072056085,-0.9230016892794392
Stonegate-Queensway (16),9,2.0576535675832903,-0.7713718258240788
Tam O'Shanter-Sullivan (118),3,1.1767324649362458,-0.6077558450212514
Taylor-Massey (61),4,2.684820952773054,-0.3287947618067365
The Beaches (63),15,11.94694332811978,-0.20353711145868136
Thistletown-Beaumond Heights (3),2,0.05238449765703493,-0.9738077511714825
Thorncliffe Park (55),4,2.5317748265639723,-0.3670562933590069
Trinity-Bellwoods (81),32,21.68606821626964,-0.3223103682415738
University (79),59,41.15326964857348,-0.3024869551089241
Victoria Village (43),1,0.12524495100621863,-0.8747550489937814
Waterfront Communities-The Island (77),264,168.21035892145818,-0.36283954953993114
West Hill (136),17,3.4203994644605675,-0.7988000315023196
West Humber-Clairville (1),5,1.937444671355706,-0.6125110657288587
Westminster-Branson (35),8,1.8342893707866126,-0.7707138286516735
Weston (113),1,1.575047060914729,0.5750470609147289
Weston-Pelham Park (91),8,0.9861355939213506,-0.8767330507598312
Wexford/Maryvale (119),13,2.503114897048548,-0.8074527002270349
Willowdale East (51),25,14.644929131681598,-0.41420283473273606
Willowdale West (37),17,4.347659054166453,-0.7442553497549146
Willowridge-Martingrove-Richview (7),3,0.372324860797853,-0.8758917130673823
Woburn (137),7,2.1885338146481943,-0.6873523121931152
Woodbine Corridor (64),3,4.817680948603814,0.6058936495346048
Woodbine-Lumsden (60),2,0.612997302538006,-0.693501348730997
Wychwood (94),10,5.267267809421619,-0.4732732190578381
Yonge-Eglinton (100),8,5.462656788518382,-0.31716790143520224
Yonge-St.Clair (97),10,4.245037446043362,-0.5754962553956637
York University Heights (27),18,8.825346970010068,-0.5097029461105518
Yorkdale-Glen Park (31),15,4.659414518529881,-0.6893723654313412
