task_horizon,model,n_folds,mean_MAE,sd_MAE,mean_RMSE,sd_RMSE,mean_R2,mean_total_bias,mean_nonzero_MAE,mean_active_MAE,worst_fold_RMSE,selected
1,"Poisson (area, tuned)",12,1.0073391522089297,0.2796678109814563,1.5634739105008266,0.4993634835968615,0.74451581522294,0.16951008876782644,1.2929890587876873,1.075082881484478,2.3552241669198146,TRUE
1,Basis Ridge (tuned),12,0.9053018515486086,0.3110786951326572,1.6075638532213736,0.5666177604482147,0.7375878714402706,-0.040383314437168694,1.422260561891405,1.0095577221480814,2.8685675654243137,FALSE
1,Basis OLS (log),12,0.9057638793546876,0.30805325243787424,1.6118243602889264,0.5552050567015411,0.7341339616983437,-0.035633371224187436,1.428297457394383,1.0089667025904319,2.83198473996672,FALSE
1,Recent 12-mo mean,12,1.11470646178093,0.16432085532468121,2.0665851759080596,0.5714157717052821,0.24071069305930265,0.39969356664819683,1.7327977291308996,1.281928306854289,3.219089840483367,FALSE
1,Neighbourhood mean,12,1.2454296964057883,0.17319607925056993,2.198255057320676,0.5806757606276113,-0.035646649616985306,0.6444068005423744,1.9208890150454396,1.3912646310358017,3.2846464067282355,FALSE
1,Seasonal naive,12,1.2328605200945626,0.4732713233322805,2.3096824446175948,0.806086202680998,0.4467254145456207,0.0804856858987092,1.9998827972695314,1.453034287126453,3.417726007717674,FALSE
1,Poisson (compact),12,1.4112848162640215,0.6031025338601359,2.4937660374762958,0.9816068951555086,0.4553115717951492,0.0808293335865104,2.044944984643116,1.6001870258345698,4.077410582093746,FALSE
1,Negative-binomial,12,1.465860096833768,0.679746665653868,2.635288164043441,1.1557009601668309,0.3826954251419941,0.1697020083010162,2.1210700176368276,1.6732737251442613,4.471470426950994,FALSE
1,Global mean,12,2.173972090398039,0.2784137903489921,3.5733078578671194,1.1905746609722259,-0.1962969170993095,0.6444068005423733,2.1904764592771966,2.2599617636754266,5.916283651487026,FALSE
12,Seasonal naive,6,1.4553782505910178,0.15435594029895283,2.9299701681746946,0.35743866668438123,0.6052176517191161,0.0694472118989096,2.485991316008123,2.2801029364427734,3.441850621017647,FALSE
12,Basis Ridge (tuned),6,1.383379371426333,0.3216677715148597,2.930722177896311,0.7953339142901455,0.6127055287700742,-0.05933121759121249,2.2564187054690152,2.1194429050927783,3.851798007131265,TRUE
12,Basis OLS (log),6,1.3922273222836676,0.32274924128822097,2.9427890685245797,0.7763029935805669,0.6092246800182398,-0.045696059163487554,2.2641006169562847,2.129882462771829,3.836207306012704,FALSE
12,Neighbourhood mean,6,1.5525976193603261,0.18373492862841787,3.0979171553745983,0.5453852209029438,0.5696966790322818,0.1244926760688214,2.3816856304308964,2.448083961551099,3.8095763990797624,FALSE
12,Recent 12-mo mean,6,1.5297478329393224,0.2413709220242908,3.100863856686144,0.5854553646216633,0.5694032883298314,0.06944721189890965,2.401331895800121,2.4358994643373864,3.8491297513068563,FALSE
12,"Poisson (area, tuned)",6,1.6401591448301631,0.7933930759839155,3.6530706794208334,2.2655721584785042,0.2714101498827214,0.11071620217170032,2.611931548720655,2.544226368714777,7.872930222121273,FALSE
12,Global mean,6,2.480096339811385,0.22397977965112284,4.723698222045821,0.6821489748117648,-0.005424483879934919,0.12449267606881467,2.8649484858973424,3.0386164388610246,5.820206326335322,FALSE
12,Poisson (compact),6,2.719783793244947,2.4287226468743226,5.924480074296074,5.144949541097133,-1.4442855359802664,0.5876099339108769,4.379181138656284,4.315470227047874,16.404178749642433,FALSE
12,Negative-binomial,6,3.820221328513748,3.633482141044665,8.900362657550453,8.364199888708939,-5.105448509944392,1.1549043469427593,6.286237900956863,6.1673795281584916,25.567538732750194,FALSE
