model,cv_MAE,cv_RMSE,cv_R2,test_MAE,test_RMSE,test_R2
Basis Ridge (tuned),1.3438373451601762,2.8988807994822374,0.6234279498113807,0.8317605044265525,1.9627244379881357,0.6671429663213078
Basis Ridge (log),1.3701142866851128,2.9177109734601405,0.6175145377970874,0.8349350204163175,1.9852688141590156,0.6594524817930012
Basis OLS (log),1.39222732232035,2.9427890685862197,0.6092246799971232,0.8383641788969316,2.0033879866466116,0.6532078892285018
Seasonal naive,1.4553782505910178,2.9299701681746946,0.6052176517191161,1.0756501182033102,2.0907315448031567,0.6223098815452289
Neighbourhood mean,1.5525976193603261,3.0979171553745983,0.5696966790322818,1.3023318289275738,2.5246236859412274,0.4492780535903882
Poisson GLM,2.716021001317828,5.91253715583411,-1.4307700056909998,1.062701465649015,2.674405369181902,0.3819927788469193
Negative-binomial GLM,3.824703715354915,8.89380623595302,-5.082238021109729,1.0634056094597233,2.8323904483261724,0.30682112163758624
Global mean,2.480096339811385,4.723698222045821,-0.005424483879934919,2.118319213969584,3.487865231608328,-0.051134934871578386
