month,actual,predicted,rel_bias
2025-01-01,63,151.6454735239942,1.4070710083173685
2025-02-01,35,150.78334625661176,3.3080956073317647
2025-03-01,126,168.1519431180454,0.33453923109559847
2025-04-01,172,204.21867096362914,0.18731785443970428
2025-05-01,221,254.66919811992557,0.1523493127598442
2025-06-01,281,304.71282737490816,0.08438728603170163
2025-07-01,257,332.0142263971116,0.2918841494051035
2025-08-01,320,322.61302045006926,0.008165688906466429
2025-09-01,282,282.7212780250124,0.0025577234929517576
2025-10-01,222,231.1895367867433,0.041394309850195064
2025-11-01,94,184.70320063811917,0.9649276663629699
2025-12-01,52,151.60266023672807,1.9154357737832322
