neighborhood,actual_total,predicted_total,rel_bias
Regent Park (72),20,12.173957955486934,-0.3913021022256533
Rexdale-Kipling (4),0,0.08811467855469485,Inf
Rockcliffe-Smythe (111),6,1.6456499151022217,-0.7257250141496296
Roncesvalles (86),16,14.966330872813199,-0.06460432044917508
Rosedale-Moore Park (98),30,26.618248251452005,-0.11272505828493315
Rouge (131),2,1.6857084903435942,-0.15714575482820292
Runnymede-Bloor West Village (89),3,3.0455855763351183,0.015195192111706094
Rustic (28),3,0.0704201853441769,-0.9765266048852744
Scarborough Village (139),6,0.7295366246168785,-0.8784105625638535
South Parkdale (85),30,16.93907035342518,-0.435364321552494
South Riverdale (70),29,43.99164509974639,0.5169532793015997
St.Andrew-Windfields (40),2,1.425143500025003,-0.2874282499874985
Steeles (116),1,0.1279549723105635,-0.8720450276894365
Stonegate-Queensway (16),9,2.280415462175758,-0.7466205042026934
Tam O'Shanter-Sullivan (118),3,1.356768205746524,-0.5477439314178253
Taylor-Massey (61),4,3.032207527189467,-0.2419481182026333
The Beaches (63),15,12.555953549412747,-0.1629364300391502
Thistletown-Beaumond Heights (3),2,0.10321750419457812,-0.9483912479027109
Thorncliffe Park (55),4,2.9201984566408554,-0.26995038583978614
Trinity-Bellwoods (81),32,22.45223072767935,-0.2983677897600203
University (79),59,41.81569205232536,-0.2912594567402481
Victoria Village (43),1,0.2132506973853054,-0.7867493026146946
Waterfront Communities-The Island (77),264,168.74707488514716,-0.36080653452595773
West Hill (136),17,3.7142077517802536,-0.7815171910717498
West Humber-Clairville (1),5,2.145480329909588,-0.5709039340180824
Westminster-Branson (35),8,2.028184163329501,-0.7464769795838124
Weston (113),1,1.770903759608163,0.7709037596081629
Weston-Pelham Park (91),8,1.159010821858685,-0.8551236472676644
Wexford/Maryvale (119),13,2.8363783731055374,-0.781817048222651
Willowdale East (51),25,15.210551940446372,-0.3915779223821451
Willowdale West (37),17,4.692346071561752,-0.7239796428493088
Willowridge-Martingrove-Richview (7),3,0.48531310354115365,-0.8382289654862821
Woburn (137),7,2.442984590119981,-0.6510022014114314
Woodbine Corridor (64),3,5.213716248558342,0.7379054161861139
Woodbine-Lumsden (60),2,0.7491866583723517,-0.6254066708138242
Wychwood (94),10,5.692516457250663,-0.43074835427493374
Yonge-Eglinton (100),8,5.9486714016699995,-0.25641607479125006
Yonge-St.Clair (97),10,4.652166569226272,-0.5347833430773729
York University Heights (27),18,9.291531853166036,-0.4838037859352202
Yorkdale-Glen Park (31),15,5.075985150542561,-0.6616009899638293
