lambda,cv_MAE,cv_RMSE,cv_R2
0.10000000000000002,1.3533737486508035,3.4034555511593405,0.49610192988620205
0.0533669923120631,1.3343410837815977,3.2732264767563284,0.5333896059730393
0.02848035868435803,1.3313201159974555,3.2103472820573122,0.5514096608748766
0.015199110829529341,1.334196736323171,3.184605629254792,0.5587694244828705
0.008111308307896872,1.3384908951489025,3.174998428621946,0.5613763673882463
0.004328761281083058,1.3417100322569093,3.1718506503374626,0.562100722909292
0.002310129700083159,1.3436429128350877,3.1707723597479105,0.562271026569993
0.0012328467394420659,1.3448542342088006,3.170395813725114,0.5622892702474233
6.579332246575677e-4,1.3454957386267359,3.1703193796656355,0.5622640193920865
3.5111917342151293e-4,1.3447214949787445,3.170644701246362,0.5621374242919069
1.8738174228603827e-4,1.344907271690156,3.170623390634141,0.5621288115463814
1.0000000000000009e-4,1.3450067314366612,3.1706132267315517,0.5621237633809228
