task_horizon,outer_fold,model,outer_train_end,test_start,test_end,inner_fold,lambda,MAE,RMSE,R2,status,selected
1,1,Basis Ridge (tuned),120,121,121,3,0.002606264322008008,1.963964264467464,3.501310203625789,0.4926722102498631,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,3,0.005888749408017718,1.924810706606404,3.4241125782174158,0.5147969263342229,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,3,0.013305392433761935,1.8483254876006177,3.276424883661592,0.5557495211105441,ok,TRUE
1,1,Basis Ridge (tuned),120,121,121,3,0.030062999042780234,1.7214646635949897,3.0468010251880764,0.6158368892016106,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,3,0.06792613716171855,1.5747428904368967,2.829129563280118,0.6687673438379933,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,3,0.1534763748336234,1.5112963933990806,2.881018878025528,0.6565055839595977,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,3,0.34677369590428986,1.5562561926355092,3.3018485376092075,0.548828385439321,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,3,0.7835212181775894,1.6836428358146196,3.854168345277101,0.3852637355640244,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,3,1.7703346781640914,1.8476458009447256,4.330744707061702,0.22383752900237086,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,3,4,2.0066646194448428,4.668682369327554,0.09798007821200017,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,4,1.0000000000000009e-4,1.3302521000532395,3.1962583594120124,0.49979247759082257,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,4,2.259459778615513e-4,1.3303182141105057,3.1965069544986218,0.4997146653778415,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,4,5.105158491181259e-4,1.3303243258211161,3.196623538918546,0.4996781714549441,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,4,0.00115349002742815,1.3302603496219572,3.196677854829835,0.4996611687227793,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,4,0.002606264322008008,1.329998670967307,3.196399447510683,0.4997483166514044,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,4,0.005888749408017718,1.3291857114180037,3.1950818319485594,0.5001606578240217,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,4,0.013305392433761935,1.3273127930746205,3.1920809149618052,0.5010991451867697,ok,TRUE
1,1,Basis Ridge (tuned),120,121,121,4,0.030062999042780234,1.3236443687049795,3.1860755767080176,0.5029745676340067,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,4,0.06792613716171855,1.3184922257448755,3.1825373056767683,0.5040778899760068,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,4,0.1534763748336234,1.3179789086633131,3.2108614360756897,0.49521133642868875,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,4,0.34677369590428986,1.3415326971403139,3.331659589938806,0.4565148183400429,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,4,0.7835212181775894,1.41119330059307,3.584725047768042,0.37081528194898883,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,4,1.7703346781640914,1.527490592492645,3.9121051743955486,0.2506451735683538,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,4,4,1.6537741643818031,4.201383385266275,0.13572670872665615,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,5,1.0000000000000009e-4,1.1628320554491676,2.983163509897393,0.6243397562908283,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,5,2.259459778615513e-4,1.1630947151351307,2.9846237837824705,0.6239718910331069,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,5,5.105158491181259e-4,1.1635007145520868,2.9868887174678735,0.6234009635407375,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,5,0.00115349002742815,1.16414559278671,2.9904244664188653,0.6225088327013729,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,5,0.002606264322008008,1.165435814849666,2.997509777452259,0.6207179090905213,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,5,0.005888749408017718,1.1682589731813104,3.0129931733927098,0.6167894869131549,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,5,0.013305392433761935,1.174133112692623,3.044597063349031,0.6087081808894867,ok,TRUE
1,1,Basis Ridge (tuned),120,121,121,5,0.030062999042780234,1.1858420851895841,3.1071796262566345,0.5924566219796553,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,5,0.06792613716171855,1.2070557904174073,3.2184289884811763,0.5627508415318294,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,5,0.1534763748336234,1.2414599560413961,3.394420911476798,0.5136235839255388,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,5,0.34677369590428986,1.2943621280467186,3.6416795668301325,0.4401849388586001,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,5,0.7835212181775894,1.379227625082352,3.9536052883291304,0.3401765629889245,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,5,1.7703346781640914,1.4964947993026225,4.283292689200736,0.22554422311709432,ok,FALSE
1,1,Basis Ridge (tuned),120,121,121,5,4,1.6209309683104536,4.556314730362458,0.12366824142432187,ok,FALSE
