neighborhood,actual_total,predicted_total,rel_bias
Rouge (131),2,6.878200049632174,2.439100024816087
Runnymede-Bloor West Village (89),3,11.770993579361015,2.923664526453672
Rustic (28),3,7.127596919567863,1.3758656398559543
Scarborough Village (139),6,5.690084282562952,-0.051652619572841285
South Parkdale (85),30,26.52591490872806,-0.11580283637573138
South Riverdale (70),29,58.99678081030418,1.0343717520794544
St.Andrew-Windfields (40),2,10.096530844454891,4.048265422227446
Steeles (116),1,4.664033900718936,3.6640339007189358
Stonegate-Queensway (16),9,9.940583091601479,0.10450923240016428
Tam O'Shanter-Sullivan (118),3,6.0652294815723815,1.0217431605241272
Taylor-Massey (61),4,12.338251783956997,2.084562945989249
The Beaches (63),15,23.791040370525536,0.5860693580350358
Thistletown-Beaumond Heights (3),2,5.8040903578382235,1.9020451789191117
Thorncliffe Park (55),4,14.48574509104933,2.6214362727623324
Trinity-Bellwoods (81),32,36.12508389729442,0.12890887179045052
University (79),59,63.88385409757181,0.08277718809443751
Victoria Village (43),1,8.436342043137895,7.436342043137895
Waterfront Communities-The Island (77),264,237.28196498940483,-0.10120467807043626
West Hill (136),17,7.829321940048128,-0.5394516505854042
West Humber-Clairville (1),5,7.597953539212204,0.5195907078424409
Westminster-Branson (35),8,8.460052997520105,0.05750662469001311
Weston (113),1,8.553938266048258,7.553938266048258
Weston-Pelham Park (91),8,11.502163338741283,0.4377704173426604
Wexford/Maryvale (119),13,9.545129387577678,-0.2657592778786402
Willowdale East (51),25,20.675879109085272,-0.1729648356365891
Willowdale West (37),17,11.247402601306424,-0.3383880822760927
Willowridge-Martingrove-Richview (7),3,6.542005014932021,1.1806683383106735
Woburn (137),7,6.615192303440757,-0.0549725280798918
Woodbine Corridor (64),3,16.879143282303946,4.6263810941013155
Woodbine-Lumsden (60),2,11.240374206113259,4.6201871030566295
Wychwood (94),10,18.3287576801308,0.8328757680130799
Yonge-Eglinton (100),8,18.19064647385703,1.2738308092321287
Yonge-St.Clair (97),10,18.023111977311352,0.8023111977311352
York University Heights (27),18,13.385336421977094,-0.2563701987790503
Yorkdale-Glen Park (31),15,14.54849369599959,-0.030100420266694055
