model,MAE,RMSE,R2,total_bias,selected_h12,selected_h1,total_actual,total_predicted,nonzero_MAE,nonzero_RMSE,active_MAE,active_RMSE,n_test
"Poisson (area, tuned)",1.058365699203301,1.6869032161182616,0.7541221476061872,0.28895305680086314,FALSE,TRUE,2125,2739.025245701834,1.3905298964524524,2.3848008526044513,1.399048608149739,2.2164286045016417,1692
Basis Ridge (tuned),0.8340810028306985,1.9802778359466315,0.6611626066355619,-0.37357648473431854,TRUE,FALSE,2125,1331.149969939573,1.894941527066859,3.1549939629263895,1.39427024755981,2.717260438545972,1692
Basis OLS (log),0.8383641788360736,2.003387986259024,0.6532078893626863,-0.3968143444714609,FALSE,FALSE,2125,1281.7695179981456,1.9309261811107203,3.1976680259253967,1.408710627574795,2.7499568205626725,1692
Seasonal naive,1.0756501182033102,2.0907315448031567,0.6223098815452289,0.27952941176470586,FALSE,FALSE,2125,2719,1.9402515723270446,3.0354301965269137,1.6712962962962978,2.795913022543731,1692
Recent 12-mo mean,1.1256895193065404,2.203127925390253,0.5806095765296999,0.27952941176470525,FALSE,FALSE,2125,2718.9999999999986,1.8224580712788263,3.221365348186845,1.7733410493827162,3.0210488428873696,1692
Neighbourhood mean,1.3023318289275738,2.5246236859412274,0.4492780535903882,0.6125347593582864,FALSE,FALSE,2125,3426.6363636363585,1.9407995044787496,3.5953336236829996,2.0135907687991024,3.4588591571444987,1692
Poisson (compact),1.064794885958088,2.690067074321562,0.37473330507093383,-0.34887577675280385,FALSE,FALSE,2125,1383.6389744002918,2.190513842179297,4.316176243071968,1.6979847276530933,3.7167991839742163,1692
Negative-binomial,1.0621716470290732,2.8365433537335325,0.3047869270079361,-0.5039799273920076,FALSE,FALSE,2125,1054.0426542919838,2.354397975945438,4.58895393919791,1.754107830535671,3.9314460887228995,1692
Global mean,2.118319213969584,3.487865231608328,-0.051134934871578386,0.6125347593582596,FALSE,FALSE,2125,3426.6363636363017,2.2729342467901286,5.05510743344204,2.3688475575295893,4.510116661231689,1692
