month,actual,predicted,rel_bias
2025-01-01,63,79.36250091808057,0.2597222367949297
2025-02-01,35,76.22902235609318,1.177972067316948
2025-03-01,126,87.19899722651515,-0.30794446645622897
2025-04-01,172,113.2108010298986,-0.34179766843082204
2025-05-01,221,150.75627934306374,-0.31784488985039033
2025-06-01,281,184.38773226535307,-0.34381589941155494
2025-07-01,257,193.59132838238702,-0.2467263487066653
2025-08-01,320,171.92829907711564,-0.4627240653840136
2025-09-01,282,131.05626186810053,-0.5352614827372322
2025-10-01,222,89.87779414490251,-0.595145071419358
2025-11-01,94,59.90664522905056,-0.3626952635207387
2025-12-01,52,41.204063737903454,-0.20761415888647206
