MAE,RMSE,R2,total_actual,total_predicted,total_bias,nonzero_MAE,nonzero_RMSE,active_MAE,active_RMSE,n_test,fold,correction,factor,lambda,training_cutoff
1.4388825433991999,3.851828370776259,0.5619501512254179,3751,2040.4000904241723,-0.4560383656560458,2.7772960669775357,5.598599010663719,2.298736190855655,5.090687393008911,1692,1,naive,1,0.00115349002742815,2018-12-01
1.3894440172755906,3.574638079093023,0.6227286429304437,3751,2492.0491653182053,-0.33563072105619696,2.5360701022009122,5.17492062591455,2.181484878589632,4.720561395214091,1692,1,lognormal,1.1337037413379483,0.00115349002742815,2018-12-01
1.3883817500857165,3.566733149264527,0.6243953884947668,3751,2506.2046165496517,-0.3318569404026522,2.5293343491260813,5.162667745216873,2.1785052415412105,4.709954155275272,1692,1,smearing,1.1378115395827189,0.00115349002742815,2018-12-01
2.0013557329065668,3.5744870185093993,0.4712444709392378,3919,5588.3721902330135,0.42596891815080723,2.728988492829152,4.7371421382531125,2.9164529017670935,4.852000386041274,1692,2,naive,1,0.00115349002742815,2019-12-01
2.3583112117120644,4.188479515804813,0.2739939078728365,3919,6543.315247843158,0.6696390017461491,3.151016952013855,5.540822889282727,3.385606158116028,5.679173353779236,1692,2,lognormal,1.1323424167545044,0.00115349002742815,2019-12-01
2.3697879234115775,4.208586210604464,0.2670068279389042,3919,6571.718788224788,0.67688665175422,3.1652131871558864,5.567519008085128,3.400923024436149,5.706394945404808,1692,2,smearing,1.1362656589415985,0.00115349002742815,2019-12-01
1.3281808869400709,3.1919747686102995,0.5011323245618713,3186,1448.0817337638075,-0.5454859592706192,2.601320025458705,4.579667269106396,2.272549146748894,4.433244629661013,1692,3,naive,1,0.005888749408017718,2020-12-01
1.287957772494359,2.9932113654936705,0.5613266653049104,3186,1793.719406342833,-0.4369995585866814,2.428587065352846,4.280634362550487,2.1722942109378676,4.153424894282989,1692,3,lognormal,1.135638682027761,0.005888749408017718,2020-12-01
1.2868107652503658,2.986340815896803,0.5633381957218828,3186,1807.1767626496455,-0.43277565516332533,2.4225114926151954,4.270144991105902,2.169056497475646,4.143740078533629,1692,3,smearing,1.1407704423255367,0.005888749408017718,2020-12-01
1.1673470684886114,3.008366725509279,0.6179654220842715,2985,1877.8296656537686,-0.37091133478935723,2.2445897421575243,4.438434477691388,1.946306205577796,4.1407681957931874,1692,4,naive,1,0.005888749408017718,2021-12-01
1.1536947408297356,2.775150941568791,0.6749019692236693,2985,2311.204455718501,-0.22572715051306502,2.062225076734205,4.056459461874389,1.8823376006856347,3.813361281684572,1692,4,lognormal,1.1365137649183454,0.005888749408017718,2021-12-01
1.153958253373511,2.7664931457031914,0.6769272586308066,2985,2329.7483074925563,-0.21951480486011515,2.0560443028752595,4.041822070175097,1.8809288932459773,3.801097184316105,1692,4,smearing,1.1422377380688304,0.005888749408017718,2021-12-01
1.211688093873856,2.0609244800205424,0.7833388715700442,2987,3651.977400264326,0.22262383671386884,1.6841796756071057,2.761451134222811,1.6950977940512384,2.670988963039035,1692,5,naive,1,0.005888749408017718,2022-12-01
1.3957941192136607,2.2689320485963496,0.7373969148289954,2987,4364.114730382351,0.4610360664152497,1.821786920268211,2.97308095764869,1.8994762777378646,2.9166983312341532,1692,5,lognormal,1.136719577833568,0.005888749408017718,2022-12-01
1.4052982526208295,2.282096863506513,0.7343407188708456,2987,4394.666752724491,0.4712643966268801,1.8309409531379568,2.9888379966385092,1.9108315654395396,2.9330547871552533,1692,5,smearing,1.142546818806473,0.005888749408017718,2022-12-01
1.1528845577613591,1.8968951377031562,0.7405715323973536,2719,3719.385410306723,0.36792401997304996,1.5022356034579876,2.4588741802028165,1.587568917365888,2.474548794037486,1692,6,naive,1,0.013305392433761935,2023-12-01
1.4137403952259255,2.3228733197577354,0.6109709476617773,2719,4445.034189135179,0.6348047771736591,1.7873059520588221,3.016241492948368,1.9241021279949448,3.0355146303456015,1692,6,lognormal,1.1363414774846796,0.013305392433761935,2023-12-01
1.428258775210778,2.3468566896458194,0.602896125601353,2719,4480.349393630305,0.6477930833506086,1.8049444351568966,3.0487350529297474,1.9435784459400076,3.0673672762944357,1692,6,smearing,1.1429380097707666,0.013305392433761935,2023-12-01
